home,score,away,date,location,home_gols,away_gols
France ,4–1, Mexico,13 July 1930,"Estadio Pocitos, Montevideo","[""L. Laurent  19'Langiller  40'Maschinot  43', 87'""]","[""Carreño  70'""]"
Argentina ,1–0, France,15 July 1930,"Estadio Parque Central, Montevideo","[""Monti  81'""]",[]
Chile ,3–0, Mexico,16 July 1930,"Estadio Parque Central, Montevideo","[""Vidal  3', 65'[62][63]M. Rosas  52'(o.g.)""]",[]
Chile ,1–0, France,19 July 1930,"Estadio Centenario, Montevideo","[""Subiabre  67'[62]""]",[]
Argentina ,6–3, Mexico,19 July 1930,"Estadio Centenario, Montevideo","[""Stábile  8', 17', 80'Zumelzú  12', 55'Varallo  53'""]","[""M. Rosas  42'(pen.), 65'Gayón  75'""]"
Argentina ,3–1, Chile,22 July 1930,"Estadio Centenario, Montevideo","[""Stábile  12', 13'M. Evaristo  51'""]","[""Subiabre  15'[62][64]""]"
Yugoslavia ,2–1, Brazil,14 July 1930,"Estadio Parque Central, Montevideo","[""Tirnanić  21'Bek  30'""]","[""Preguinho  62'""]"
Yugoslavia ,4–0, Bolivia,17 July 1930,"Estadio Parque Central, Montevideo","[""Bek  60', 67'Marjanović  65'Vujadinović  85'[65]""]",[]
Brazil ,4–0, Bolivia,20 July 1930,"Estadio Centenario, Montevideo","[""Moderato  37', 73'Preguinho  57', 83'""]",[]
Romania ,3–1, Peru,14 July 1930,"Estadio Pocitos, Montevideo","[""Deşu  1'[66]Stanciu  79'[66]Kovács  89'[66]""]","[""De Souza  75'""]"
Uruguay ,1–0, Peru,18 July 1930,"Estadio Centenario, Montevideo","[""Castro  65'""]",[]
Uruguay ,4–0, Romania,21 July 1930,"Estadio Centenario, Montevideo","[""Dorado  7'Scarone  26'[66]Anselmo  31'Cea  35'[66]""]",[]
United States ,3–0, Belgium,13 July 1930,"Estadio Parque Central, Montevideo","[""McGhee  23'[67]Florie  45'[67]Patenaude  69'[67]""]",[]
United States ,3–0, Paraguay,17 July 1930,"Estadio Parque Central, Montevideo","[""Patenaude  10', 15', 50'[68]""]",[]
Paraguay ,1–0, Belgium,20 July 1930,"Estadio Centenario, Montevideo","[""Vargas Peña  40'[67]""]",[]
Argentina ,6–1, United States,26 July 1930,"Estadio Centenario, Montevideo","[""Monti  20'Scopelli  56'Stábile  69', 87'Peucelle  80', 85'""]","[""Brown  89'""]"
Uruguay ,6–1, Yugoslavia,27 July 1930,"Estadio Centenario, Montevideo","[""Cea  18', 67', 72'[69]Anselmo  20', 31'[69]Iriarte  61'[69]""]","[""Vujadinović  4'[69]""]"
Uruguay ,4–2, Argentina,30 July 1930 (1930-07-30),"Estadio Centenario, Montevideo","[""Dorado  12'Cea  57'[70]Iriarte  68'Castro  89'""]","[""Peucelle  20'Stábile  37'[70]""]"
Spain ,3–1, Brazil,27 May 1934,"Stadio Luigi Ferraris, Genoa","[""Iraragorri  18'(pen.), 25'Lángara  29'""]","[""Leônidas  55'""]"
Hungary ,4–2, Egypt,27 May 1934,"Stadio Giorgio Ascarelli, Naples","[""Teleki  11'Toldi  31', 61'Vincze  53'""]","[""Fawzi  35', 39'""]"
Switzerland ,3–2, Netherlands,27 May 1934,"Stadio San Siro, Milan","[""Kielholz  7', 43'Abegglen  66'""]","[""Smit  29'Vente  69'""]"
Italy ,7–1, United States,27 May 1934,"Stadio Nazionale PNF, Rome","[""Schiavio  18', 29', 64'Orsi  20', 69'Ferrari  63'Meazza  90'""]","[""Donelli  57'""]"
Czechoslovakia ,2–1, Romania,27 May 1934,"Stadio Littorio, Trieste","[""Puč  50'Nejedlý  67'""]","[""Dobay  11'""]"
Sweden ,3–2, Argentina,27 May 1934,"Stadio Littoriale, Bologna","[""Jonasson  9', 67'Kroon  79'""]","[""Belis  4'Galateo  48'""]"
Austria ,3–2 (a.e.t.), France,27 May 1934,"Stadio Benito Mussolini, Turin","[""Sindelar  44'Schall  93'Bican  109'""]","[""Nicolas  18'Verriest  116'(pen.)""]"
Germany ,5–2, Belgium,27 May 1934,"Stadio Giovanni Berta, Florence","[""Kobierski  25'Siffling  49'Conen  66', 70', 87'""]","[""Voorhoof  29', 43'""]"
